Geschlecht;Groesse;Alter;Gewicht;Betaetigung;Einordnung
m;161;58;57;keinSport;Untergewicht
w;146;31;58;Ausdauersport;Normalgewicht
w;148;52;103;keinSport;Uebergewicht
w;149;54;51;Kraftsport;Normalgewicht
m;166;46;93;keinSport;Uebergewicht
m;161;41;96;keinSport;Uebergewicht
m;167;28;49;Ausdauersport;Normalgewicht
m;155;35;113;Kraftsport;Uebergewicht
w;179;52;67;Ausdauersport;Normalgewicht
m;170;59;83;keinSport;Normalgewicht
m;162;45;71;Ausdauersport;Normalgewicht
m;158;83;46;Kraftsport;Untergewicht
m;159;60;46;keinSport;Untergewicht
w;151;30;70;Ausdauersport;Uebergewicht
w;161;25;38;Ausdauersport;Untergewicht
w;155;44;76;Kraftsport;Normalgewicht
w;157;45;79;Kraftsport;Normalgewicht
m;164;72;74;Kraftsport;Normalgewicht
m;160;51;65;Kraftsport;Normalgewicht
m;151;74;75;Ausdauersport;Uebergewicht
w;151;46;64;keinSport;Uebergewicht
m;166;43;69;keinSport;Normalgewicht
w;149;49;58;keinSport;Normalgewicht
w;157;69;112;keinSport;Uebergewicht
m;156;49;75;keinSport;Uebergewicht
m;164;50;50;keinSport;Untergewicht
w;158;49;99;Kraftsport;Uebergewicht
w;156;49;44;keinSport;Untergewicht
m;163;41;49;keinSport;Untergewicht
m;163;61;42;keinSport;Untergewicht
m;148;61;96;Kraftsport;Uebergewicht
m;167;33;65;Ausdauersport;Normalgewicht
w;163;73;67;keinSport;Normalgewicht
m;160;58;89;keinSport;Uebergewicht
w;156;44;64;keinSport;Uebergewicht
w;158;76;54;Ausdauersport;Normalgewicht
m;148;71;52;Kraftsport;Untergewicht
w;157;45;35;keinSport;Untergewicht
w;148;50;40;keinSport;Untergewicht
m;159;85;75;keinSport;Normalgewicht
w;157;54;71;keinSport;Uebergewicht
m;163;55;64;keinSport;Normalgewicht
w;151;58;58;Ausdauersport;Normalgewicht
m;153;34;51;keinSport;Normalgewicht
m;166;55;116;keinSport;Uebergewicht
m;149;56;45;keinSport;Untergewicht
w;147;29;49;keinSport;Normalgewicht
w;147;51;88;keinSport;Uebergewicht
w;146;57;62;Kraftsport;Normalgewicht
m;160;33;68;keinSport;Uebergewicht
m;172;47;47;Kraftsport;Untergewicht
w;150;48;47;keinSport;Untergewicht
m;154;32;45;Ausdauersport;Untergewicht
w;154;75;64;Ausdauersport;Normalgewicht
m;151;43;79;Kraftsport;Uebergewicht
m;177;37;66;keinSport;Untergewicht
w;151;83;51;keinSport;Untergewicht
m;162;54;51;Ausdauersport;Normalgewicht
m;165;45;69;Ausdauersport;Normalgewicht
w;159;34;44;keinSport;Untergewicht
m;160;52;48;Ausdauersport;Normalgewicht
m;167;57;56;Ausdauersport;Normalgewicht
w;161;53;43;keinSport;Untergewicht
w;152;31;65;Ausdauersport;Uebergewicht
w;150;44;62;Ausdauersport;Normalgewicht
m;172;21;56;keinSport;Untergewicht
w;149;36;38;keinSport;Untergewicht
m;158;45;60;keinSport;Normalgewicht
w;149;25;45;Ausdauersport;Normalgewicht
w;154;37;57;keinSport;Normalgewicht
w;162;76;69;Ausdauersport;Normalgewicht
w;154;54;64;Ausdauersport;Normalgewicht
w;157;43;73;keinSport;Uebergewicht
w;154;57;87;keinSport;Uebergewicht
m;153;21;48;Ausdauersport;Normalgewicht
w;153;56;77;Kraftsport;Normalgewicht
w;149;21;63;Ausdauersport;Normalgewicht
m;163;27;50;keinSport;Untergewicht
m;157;20;48;keinSport;Untergewicht
w;147;55;54;Ausdauersport;Normalgewicht
w;146;56;116;keinSport;Uebergewicht
w;164;30;60;keinSport;Normalgewicht
m;160;75;52;keinSport;Untergewicht
w;154;42;120;Ausdauersport;Uebergewicht
m;161;59;71;keinSport;Normalgewicht
m;156;76;75;keinSport;Uebergewicht
w;148;29;101;keinSport;Uebergewicht
m;164;32;46;keinSport;Untergewicht
m;158;44;66;Ausdauersport;Normalgewicht
m;163;59;49;keinSport;Untergewicht
w;149;73;40;Ausdauersport;Normalgewicht
w;161;58;77;Ausdauersport;Uebergewicht
m;166;72;128;Kraftsport;Uebergewicht
w;148;88;53;Ausdauersport;Normalgewicht
w;149;34;61;keinSport;Uebergewicht
m;158;49;74;keinSport;Uebergewicht
w;161;52;55;Ausdauersport;Untergewicht
m;161;45;65;keinSport;Normalgewicht
w;161;49;77;Kraftsport;Uebergewicht
w;147;75;69;keinSport;Uebergewicht
m;166;77;57;Ausdauersport;Normalgewicht
m;160;32;59;keinSport;Normalgewicht
m;166;46;77;keinSport;Uebergewicht
m;166;51;57;Ausdauersport;Untergewicht
m;170;46;48;Ausdauersport;Untergewicht
w;157;68;57;keinSport;Untergewicht
m;161;57;59;keinSport;Untergewicht
w;155;38;47;Ausdauersport;Normalgewicht
w;146;52;100;keinSport;Uebergewicht
m;155;55;56;keinSport;Untergewicht
m;163;47;60;Kraftsport;Normalgewicht
m;163;31;69;keinSport;Normalgewicht
w;153;37;67;Ausdauersport;Normalgewicht
w;151;30;59;Ausdauersport;Normalgewicht
m;159;67;80;Ausdauersport;Uebergewicht
w;150;45;96;Kraftsport;Uebergewicht
m;165;45;63;Ausdauersport;Normalgewicht
w;150;50;61;keinSport;Uebergewicht
m;161;59;76;Ausdauersport;Normalgewicht
m;140;27;66;keinSport;Uebergewicht
w;151;59;50;keinSport;Untergewicht
m;168;78;62;Kraftsport;Untergewicht
m;164;52;102;Kraftsport;Uebergewicht
m;158;75;66;keinSport;Normalgewicht
w;152;37;49;keinSport;Normalgewicht
m;161;19;91;Kraftsport;Uebergewicht
m;149;42;55;Ausdauersport;Normalgewicht
w;156;72;92;keinSport;Uebergewicht
m;160;58;61;Kraftsport;Untergewicht
w;147;34;56;keinSport;Uebergewicht
w;152;72;63;keinSport;Normalgewicht
m;162;77;81;Ausdauersport;Uebergewicht
m;164;31;100;Kraftsport;Uebergewicht
w;152;63;86;Ausdauersport;Uebergewicht
w;146;62;95;keinSport;Uebergewicht
m;172;46;126;Kraftsport;Uebergewicht
w;147;30;53;keinSport;Normalgewicht
m;168;21;47;keinSport;Untergewicht
w;150;73;101;Kraftsport;Uebergewicht
w;154;77;69;keinSport;Normalgewicht
m;157;35;50;keinSport;Untergewicht
w;148;47;45;Kraftsport;Untergewicht
w;151;51;75;keinSport;Uebergewicht
w;151;69;65;keinSport;Normalgewicht
m;158;34;39;Ausdauersport;Untergewicht
m;168;63;88;keinSport;Uebergewicht
w;147;44;115;Ausdauersport;Uebergewicht
w;154;64;119;keinSport;Uebergewicht
w;160;46;69;Kraftsport;Normalgewicht
w;154;26;82;Ausdauersport;Uebergewicht
m;168;28;61;Ausdauersport;Normalgewicht
m;171;58;72;Ausdauersport;Normalgewicht
w;152;18;69;Ausdauersport;Normalgewicht
w;152;40;55;keinSport;Normalgewicht
w;156;47;51;keinSport;Untergewicht
m;166;60;84;keinSport;Uebergewicht
m;171;44;89;Ausdauersport;Uebergewicht
w;155;28;45;Ausdauersport;Untergewicht
m;157;62;70;keinSport;Normalgewicht
w;147;51;50;keinSport;Normalgewicht
w;157;34;43;keinSport;Untergewicht
m;168;52;111;Kraftsport;Uebergewicht
m;159;37;95;Kraftsport;Uebergewicht
m;160;25;45;Ausdauersport;Normalgewicht
w;155;54;62;Kraftsport;Normalgewicht
w;149;80;56;Kraftsport;Normalgewicht
m;159;36;77;keinSport;Uebergewicht
m;147;37;51;Kraftsport;Normalgewicht
w;157;38;60;Kraftsport;Normalgewicht
w;162;58;109;Ausdauersport;Uebergewicht
w;153;35;64;keinSport;Uebergewicht
w;149;60;48;Kraftsport;Untergewicht
w;156;55;46;keinSport;Untergewicht
w;157;51;49;Ausdauersport;Untergewicht
m;160;73;58;keinSport;Untergewicht
w;160;95;56;keinSport;Untergewicht
w;148;26;46;Ausdauersport;Normalgewicht
m;162;54;112;keinSport;Uebergewicht
m;155;18;66;Ausdauersport;Normalgewicht
w;161;29;63;Ausdauersport;Normalgewicht
m;157;27;47;Ausdauersport;Untergewicht
w;143;46;40;Ausdauersport;Untergewicht
w;154;51;54;Ausdauersport;Normalgewicht
w;159;37;63;Kraftsport;Normalgewicht
w;152;61;101;Kraftsport;Uebergewicht
m;172;56;67;Ausdauersport;Untergewicht
m;157;37;53;Kraftsport;Untergewicht
m;171;62;74;Ausdauersport;Normalgewicht
w;157;50;70;Kraftsport;Normalgewicht
w;145;52;85;Ausdauersport;Uebergewicht
m;165;66;85;Kraftsport;Normalgewicht
m;161;73;89;keinSport;Uebergewicht
m;162;52;57;Kraftsport;Normalgewicht
m;164;64;81;Ausdauersport;Uebergewicht
w;156;27;52;keinSport;Normalgewicht
w;160;48;65;Kraftsport;Normalgewicht
m;159;43;46;keinSport;Untergewicht
w;149;24;52;Ausdauersport;Normalgewicht
m;170;54;83;Ausdauersport;Normalgewicht
w;149;49;46;Ausdauersport;Normalgewicht
w;152;54;53;keinSport;Normalgewicht
m;157;34;71;keinSport;Uebergewicht
m;163;31;59;Ausdauersport;Normalgewicht
m;161;46;73;Kraftsport;Normalgewicht
m;173;48;71;keinSport;Normalgewicht
m;156;31;53;keinSport;Normalgewicht
w;150;23;92;keinSport;Uebergewicht
m;156;54;108;keinSport;Uebergewicht
m;157;62;75;keinSport;Uebergewicht
w;146;46;72;keinSport;Uebergewicht
w;158;57;104;Kraftsport;Uebergewicht
w;160;34;79;keinSport;Uebergewicht
m;163;28;55;keinSport;Untergewicht
w;147;61;40;keinSport;Untergewicht
m;160;19;56;keinSport;Normalgewicht
w;147;53;67;keinSport;Uebergewicht
w;154;60;57;Ausdauersport;Normalgewicht
m;158;60;66;Kraftsport;Normalgewicht
m;173;46;55;Ausdauersport;Normalgewicht
m;164;58;57;Ausdauersport;Untergewicht
m;149;47;70;Kraftsport;Normalgewicht
w;151;61;84;keinSport;Uebergewicht
w;146;46;41;keinSport;Untergewicht
m;164;33;50;Ausdauersport;Normalgewicht
w;160;64;51;keinSport;Untergewicht
w;150;47;49;keinSport;Untergewicht
